player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Josh Fields,55,166,153,15,31,5,1,6,19,1,1,9,43,0.203,0.259,0.366,0.625,56,2,3,0,1,0.0,0.20261437908496732,0.032679738562091505,0.006535947712418301,0.0392156862745098,0.0004299226139294927,0.058823529411764705,0.28104575163398693
Rusty Ryal,67,201,190,17,43,10,2,3,21,2,1,5,57,0.226,0.26899999999999996,0.34700000000000003,0.616,66,3,6,0,0,0.0,0.22631578947368422,0.05263157894736842,0.010526315789473684,0.015789473684210527,0.0008598452278589854,0.02631578947368421,0.3
Brad Eldred,577,2169,1918,239,496,79,0,133,370,7,2,204,616,0.259,0.337,0.508,0.8440000000000001,974,39,30,0,17,5.0,0.2586027111574557,0.04118873826903024,0.0,0.06934306569343066,0.0030094582975064487,0.10636079249217935,0.32116788321167883
Lastings Milledge,255,1097,965,135,262,48,2,39,129,16,12,110,155,0.272,0.348,0.447,0.795,431,28,8,6,8,7.0,0.27150259067357513,0.049740932642487044,0.002072538860103627,0.04041450777202073,0.006878761822871883,0.11398963730569948,0.16062176165803108
Randy Ruiz,151,512,472,51,113,23,0,20,60,0,0,36,178,0.239,0.297,0.415,0.7120000000000001,196,13,3,0,1,1.0,0.23940677966101695,0.048728813559322036,0.0,0.0423728813559322,0.0,0.07627118644067797,0.3771186440677966
John Bowker,239,729,669,57,160,39,5,24,78,5,0,46,188,0.239,0.294,0.42,0.7140000000000001,281,20,8,2,4,4.0,0.23916292974588937,0.05829596412556054,0.007473841554559043,0.03587443946188341,0.0021496130696474634,0.0687593423019432,0.28101644245142005
Matt Clark,143,501,436,59,102,15,0,27,74,0,0,54,141,0.23399999999999999,0.325,0.45399999999999996,0.779,198,7,7,0,4,1.0,0.23394495412844038,0.034403669724770644,0.0,0.06192660550458716,0.0,0.12385321100917432,0.32339449541284404
Hector Luna,413,1715,1535,222,474,82,10,39,218,29,2,156,279,0.309,0.374,0.451,0.826,693,39,12,0,12,7.0,0.3087947882736156,0.053420195439739415,0.006514657980456026,0.025407166123778503,0.012467755803955288,0.10162866449511401,0.18175895765472314
Brook Conrad,76,269,233,26,49,11,0,6,24,3,0,29,78,0.21,0.316,0.335,0.6509999999999999,78,3,7,0,0,2.0,0.21030042918454936,0.04721030042918455,0.0,0.02575107296137339,0.0012897678417884782,0.12446351931330472,0.33476394849785407
Kila Ka'aihue,154,600,512,56,132,20,0,25,85,0,0,77,150,0.258,0.358,0.44299999999999995,0.802,227,6,6,0,5,0.0,0.2578125,0.0390625,0.0,0.048828125,0.0,0.150390625,0.29296875
Fred Lewis,110,412,362,52,107,26,1,6,33,18,4,43,94,0.29600000000000004,0.374,0.423,0.7959999999999999,153,8,4,0,3,0.0,0.2955801104972376,0.0718232044198895,0.0027624309392265192,0.016574585635359115,0.007738607050730868,0.11878453038674033,0.2596685082872928
Nick Stavinoha,66,244,220,21,49,8,0,10,27,0,0,23,56,0.223,0.299,0.395,0.695,87,7,1,0,0,1.0,0.22272727272727272,0.03636363636363636,0.0,0.045454545454545456,0.0,0.10454545454545454,0.2545454545454545
Nyjer Morgan,124,493,426,62,125,17,2,11,55,5,3,35,95,0.293,0.369,0.42,0.789,179,4,18,11,3,1.0,0.2934272300469484,0.03990610328638498,0.004694835680751174,0.025821596244131457,0.0021496130696474634,0.08215962441314555,0.22300469483568075
