player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB
Cody Ransom,383,858,752,111,160,47,2,30,105,6,3,88,274,0.213,0.303,0.4,0.703,301,19,9,9,0,2.0,0.2127659574468085,0.0625,0.0026595744680851063,0.0398936170212766,0.0015781167806417674,0.11702127659574468,0.36436170212765956
Zach Lutz,22,37,31,3,7,2,0,0,2,0,0,6,11,0.226,0.35100000000000003,0.29,0.642,9,1,0,0,0,0.0,0.22580645161290322,0.06451612903225806,0.0,0.0,0.0,0.1935483870967742,0.3548387096774194
Kevin Youkilis,1061,4436,3749,653,1053,254,18,150,618,26,14,539,828,0.281,0.382,0.478,0.861,1793,74,104,0,44,22.0,0.2808748999733262,0.06775140037343291,0.00480128034142438,0.04001066951186983,0.006838506049447659,0.1437716724459856,0.22085889570552147
Jeremy Hermida,632,2261,2012,248,517,104,9,65,250,22,8,216,517,0.257,0.33399999999999996,0.415,0.7490000000000001,834,40,21,4,8,16.0,0.25695825049701787,0.05168986083499006,0.0044731610337972166,0.03230616302186879,0.005786428195686481,0.1073558648111332,0.25695825049701787
Brandon Laird,53,138,127,12,25,4,0,6,16,0,0,8,38,0.19699999999999998,0.255,0.37,0.626,47,4,2,1,0,0.0,0.1968503937007874,0.031496062992125984,0.0,0.047244094488188976,0.0,0.06299212598425197,0.2992125984251969
Tony Blanco,56,65,62,7,11,3,0,1,7,1,0,2,19,0.177,0.215,0.27399999999999997,0.49,17,0,1,0,0,0.0,0.1774193548387097,0.04838709677419355,0.0,0.016129032258064516,0.0002630194634402946,0.03225806451612903,0.3064516129032258
Gaby Sanchez,700,2270,1998,236,508,126,4,61,266,12,1,225,368,0.254,0.332,0.413,0.7440000000000001,825,55,18,5,24,9.0,0.25425425425425424,0.06306306306306306,0.002002002002002002,0.03053053053053053,0.003156233561283535,0.11261261261261261,0.1841841841841842
Zelous Wheeler,29,62,57,6,11,0,0,2,5,0,0,2,12,0.193,0.23,0.298,0.528,17,1,1,1,1,0.0,0.19298245614035087,0.0,0.0,0.03508771929824561,0.0,0.03508771929824561,0.21052631578947367
Yamaico Navarro,79,199,180,19,37,3,1,2,20,0,2,14,52,0.20600000000000002,0.258,0.267,0.524,48,3,0,1,4,1.0,0.20555555555555555,0.016666666666666666,0.005555555555555556,0.011111111111111112,0.0,0.07777777777777778,0.28888888888888886
Brian Bogusevic,321,833,748,93,178,36,4,19,67,24,7,72,204,0.23800000000000002,0.311,0.373,0.684,279,21,9,1,3,3.0,0.23796791443850268,0.0481283422459893,0.0053475935828877,0.02540106951871658,0.00631246712256707,0.0962566844919786,0.2727272727272727
